year of exhibition,age at the time,name,birthyear,birthplace city,birthplace state or country,work place city,work place state or country,work place 2,work place 2 state or country,death date,work title,work year,work media,work size,frequency,work source
1973,,Alan Siegel,1938,new york,new york,New York,New York,,,,,,,,,
1973,,Alfred Leslie,1927,new york,new york,New York,New York,,,,,,,,,
1973,,Alice Adams,1930,new york,new york,New York,New York,,,,,,,,,
1973,,George Sugarman,1912,new york,new york,New York,New York,,,,,,,,,
1973,,Helen Frankenthaler,1928,new york,new york,New York,New York,,,,,,,,,
1973,,Joan Jonas,1936,new york,new york,New York,New York,,,,,,,,,
1973,,Peter Campus,1937,new york,new york,New York,New York,,,,,,,,,
1973,,Robert Moskowitz,1935,new york,new york,New York,New York,,,,,,,,,
1973,,Roy Lichtenstein,1923,new york,new york,New York,New York,,,,,,,,,
1977,,alan daniel saret,1944,new york,new york,new york,new york,,,,,,,,,
1977,,andy mann,1947,new york,new york,new york,new york,,,,,,,,,
1977,,charles simonds,1945,new york,new york,new york,new york,,,,,,,,,
1977,,joan jonas,1936,new york,new york,new york,new york,,,,,,,,,
1977,,joel shapiro,1941,new york,new york,new york,new york,,,,,,,,,
1977,,peter campus,1937,new york,new york,new york,new york,,,,,,,,,
1979,,jane brettschneider,1955,new york,new york,new york,new york,,,,,,,,,
1979,,joan jonas,1936,new york,new york,new york,new york,,,,,,,,,
1979,,jody pinto,1942,new york,new york,philadelphia,pennsylvania,,,,,,,,,
1979,,joel shapiro,1941,new york,new york,new york,new york,,,,,,,,,
1979,,judith murray,1941,new york,new york,new york,new york,,,,,,,,,
1979,,larry gottheim,1936,new york,new york,binghamton,new york,,,,,,,,,
1979,,richard foreman,1937,new york,new york,new york,new york,,,,,,,,,
1979,,robert moskowitz,1935,new york,new york,new york,new york,,,,,,,,,
1979,,roy lichtenstein,1923,new york,new york,southampton,new york,,,,,,,,,
1979,,william viola,1951,new york,new york,new york,new york,,,,,,,,,
1981,,al held,1928,new york,new york,boiceville, new york,,,,,,,,,
1981,,benno friedman,1945,new york,new york,new york,new york,,,,,,,,,
1981,,joan thorne,1943,new york,new york,new york,new york,,,,,,,,,
1981,,joel meyerowitz,1938,new york,new york,new york,new york,,,,,,,,,
1981,,joel shapiro,1941,new york,new york,new york,new york,,,,,,,,,
1981,,julian schnabel,1951,new york,new york,new york,new york,,,,,,,,,
1981,,ken jacobs,1933,new york,new york,new york,new york,,,,,,,,,
1981,,Larry Gottheim,1936,new york,new york,binghamton,new york,,,,,,,,,
1981,,mary miss,1941,new york,new york,new york,new york,,,,,,,,,
1981,,owen morrel,1950,new york,new york,new york,new york,,,,,,,,,
1981,,peter d'Agostino,1945,new york,new york,new york,new york,,,,,,,,,
1981,,richard fleischner,1944,new york,new york,providence,rhode island,,,,,,,,,
1981,,robert mapplethorpe,1946,new york,new york,new york,new york,,,,,,,,,
1981,,robert moskowitz,1935,new york,new york,new york,new york,,,,,,,,,
1981,,shalom gorewitz,1949,new york,new york,new york,new york,,,,,,,,,
1983,,bill viola,1951,new york,new york,long beach,california,,,,,,,,,
1983,,eileen cowin,1948,new york,new york,venice,california,,,,,,,,,
1983,,eric fischl,1948,new york,new york,new york,new york,,,,,,,,,
1983,,judy rifka,1945,new york,new york,new york,new york,,,,,,,,,
1983,,julian schnabel,1951,new york,new york,new york,new york,,,,,,,,,
1983,,mathew geller,1954,new york,new york,new york,new york,,,,,,,,,
1983,,r.m. fischer,1947,new york,new york,new york,new york,,,,,,,,,
1983,,shalom gorewitz,1949,new york,new york,new york,new york,,,,,,,,,
1983,,stan vanDerBeek,1927,new york,new york,baltimore,maryland,,,,,,,,,
1983,,warren sonbert,1947,new york,new york,san francisco,california,,,,,,,,,
1991,,eric fischl,1948,new york,new york,new york,new york,,,,,,,,,
1991,,glenn ligon,1960,new york,new york,new york,new york,,,,,,,,,
1991,,jessica diamond,1957,new york,new york,new york,new york,,,,,,,,,
1991,,julian schnabel,1951,new york,new york,new york,new york,,,,,,,,,
1991,,lorna simpson,1960,new york,new york,new york,new york,,,,,,,,,
1991,,nayland blake,1960,new york,new york,san francisco,california,,,,,,,,,
1991,,peter halley,1953,new york,new york,new york,new york,,,,,,,,,
1991,,rona pondick,1952,new york,new york,new york,new york,,,,,,,,,
1991,,roni horn,1955,new york,new york,new York,new York,,,,,,,,,
1991,,roy lichtenstein,1923,new york,new york,New York,New York,,,,,,,,,
1993,,art jones,1963,new york,new york,bronx,new york,,,,,,,,,
1993,,bill viola,1951,new york,new york,long beach,california,,,,,,,,,
1993,,coco fusco,1960,new york,new york,new york,new york,,,,,,,,,
1993,,gary simmons,1964,new york,new york,new york,new york,,,,,,,,,
1993,,george sosa,1967,new york,new york,brooklyn,new york,,,,,,,,,
1993,,glenn ligon,1960,new york,new york,new york,new york,,,,,,,,,
1993,,ida applebroog,1929,new york,new york,new york,new york,,,,,,,,,
1993,,jennifer macdonald,1958,new york,new york,new york,new york,,,,,,,,,
1993,,jonathan robinson,1960,new york,new york,san francisco,california,,,,,,,,,
1993,,julie dash,1952,new york,new york,atlanta,georgia,,,,,,,,,
1993,,lorna simpson,1960,new york,new york,new york,new york,,,,,,,,,
1993,,marga gomez,1959,new york,new york,san francisco,california,,,,,,,,,
1993,,mark a. aubert,1958,new york,new york,new york,new york,,,,,,,,,
1993,,peter campus,1937,new york,new york,new york,new york,,,,,,,,,
1993,,tom poole,1963,new york,new york,new york,new york,,,,,,,,,
2000,,E. V. Day,1967,New York,New York,Brooklyn,New York,,,,,,,,,
2000,,Ingrid Calame,1965,New York,new york,los angeles,ca,,,,,,,,,
2000,,Mandy Morrison,1957,New York,new York,Brooklyn,new York,,,,,,,,,
2000,,Nathaniel Dorsky,1943,New York,New York,San Francisco,california,,,,,,,,,
2000,,Tara Donovan,1969,New York,New york,Richmond,Va.,,,,,,,,,
2006,,Billy Sullivan,1946,new york,new york,new york,new york,,,,,,,,,
2006,,Daisy Wright,1969,new york,new york,new york,new york,,,,,,,,,
2006,,Dash Snow,1981,new york,new york,new york,new york,,,,"Untitled (Dog in garbage), 2002. Digital chromogenic color print, 20 x 20 in. (50.8 x 50.8 cm). Private collection; courtesy Rivington Arms, New York",,,,,
2006,,Gedi Sibony,1973,new york,new york,brooklyn,new york,,,,"The Qualities Depend on Other Qualities, 2004 (installation view, Canada, New York). Sticks, carpet, vinyl, wood filler, medium density fiberboard, hollow-core door, and cardboard, dimensions variable. Collections of Carol and Arthur Goldberg, and Greg Miller",,,,,
2006,,Ira Cohen,1935,new york,new york,new york,new york,,,,,,,,,
2006,,Jeanne Liotta,1960,new york,new york,new york,new york,,,,"Stills from Eclipse, 2005. 16mm film, color, sound; 3:30 min.",,,,,
2006,,Jordan Wolfson,1980,new york,new york,new york,new york,berlin,germany,,"Untitled (Frank Painting Company, Inc.), 1966/ 2006. Scraped and repainted wall. Courtesy Jack Frank and family",,,,,
2006,,Lewis Klahr,1956,new york,new york,los angeles,california,,,,"Still from The Two Minutes to Zero Trilogy, 2003–4. 16mm film, color, sound; 33 min.",,,,,
2006,,Steven Parrino,1958,new york,new york,new york,new york,,,2005,"Untitled, 2004. Enamel on canvas, 102½ x 107 x 140 in. (260.4 x 271.8 x 355.6 cm). Estate of the artist; courtesy Team Gallery, New York",,,,,
2008,,Adam Putnam,1973,new york,new york,new york,new york,,,,,,,,,
2008,,Coco Fusco,1960,new york,new york,new york,new york,,,,,,,,,
2008,,Jennifer Montgomery,1961,new york,new york,chicago,illinois,,,,,,,,,
2008,,Leslie Hewitt,1977,new york,new york,new york,new york,houston,texas,,,,,,,
2008,,Marina Rosenfeld,1968,new york,new york,new york,new york,,,,,,,,,
2008,,Rachel Harrison,1966,new york,new york,new york,new york,,,,,,,,,
2010,,Marianne Vitale,1973,New York,New York;,New York,New York,,,,,,,,,
2010,,Nina Berman,1960,New York,New York;,New York,New York,,,,,,,,,
2010,,Robert Grosvenor,1937,New York,New York;,Long Island,New York,,,,,,,,,
2012,,Elaine Reichek,1943,new york,new york,new york,new york,,,,,,,,,
2012,,George Kuchar,1942,new york,new york,san francisco,ca,,,,,,,,,
2012,,Nathaniel Dorsky,1943,new york,ny,san francisco,ca,,,,,,,,,
2012,,Nick Mauss,1980,new york,new york,new york,new york,,,,,,,,,
2014,,Carissa Rodriguez,1970,New York,NY,New York,NY,,,, Hawaiian Presence (Hawaii),2014,Hawaiian volcanic salt,,,Collection of the artist
2014,,Jessie Mott,1980,New York,NY,Chicago,IL,,,,,,,,,
2014,,Karl Haendel,1976,New York,NY,Los Angeles,CA,,,,,,,,,
2014,,Rochelle Feinstein,1947,New York,NY,New York,NY,,,,,,,,,
1973,,Barbara Kruger,1945,newark,new jersey,New York,New York,,,,,,,,,
1973,,Pat Steir,1938,newark,new jersey,New York,New York,,,,,,,,,
1977,,pat steir,1938,newark,new jersey,new york,new york,,,,,,,,,
1983,,barbara kruger,1945,newark,new jersey,new york,new york,,,,,,,,,
1983,,pat steir,1938,newark,new jersey,new york,new york,,,,,,,,,
1991,,pat steir,1938,newark,new jersey,New York,New York,,,,,,,,,
2000,,Chakaia Booker,1953,Newark,new jersey,New York,New York,,,,,,,,,
1973,,Ellsworth Kelly,1923,newburgh,new york,New York,New York,,,,,,,,,
1979,,ellsworth kelly,1923,newburgh,new york,chatham,new york,,,,,,,,,
1981,,ellsworth kelly,1923,newburgh,new york,chatham,new york,,,,,,,,,
1991,,Ellsworth Kelly,1923,newburgh,new york,New York,New York,,,,,,,,,
2008,,Jason Rhoades,1965,newcastle,california,los angeles,california,,,,,,,,,
1973,,Jackie Winsor,1941,newfoundland,canada,New York,New York,,,,,,,,,
1977,,jackie winsor,1941,newfoundland,canada,new york,new york,,,,,,,,,
1979,,jackie winsor,1941,newfoundland,canada,new york,new york,,,,,,,,,
1983,,jackie winsor,1941,newfoundland,canada,new york,new york,,,,,,,,,
1977,,lewis baltz,1945,newport beach,california,saulsalito,california,,,,,,,,,
2008,,Frances Stark,1967,newport beach,california,los angeles,california,,,,,,,,,
,,Lori Cheatle,1959,niagara falls,new york,brooklyn,new york,,,,,,,,,
2010,,Roland Flexner,1944,Nice,France;,New York,New York,,,,,,,,,
1993,,robbie mcCauley,1942,norfolk,virginia,new york,new york,,,,,,,,,
2000,,Annette Lemieux,1957,Norfolk,Va.,Boston,ma,,,,,,,,,
1983,,david salle,1952,norman,oaklahoma,new york,new york,,,,,,,,,
1991,,david salle,1952,norman,oaklahoma,new york,new york,,,,,,,,,
1979,,robert mangold,1937,north tonawanda,new york,washingtonville,new york,,,,,,,,,
1983,,robert mangold,1947,north tonawanda,new york,washingtonville,new york,,,,,,,,,
2014,,Shana Lutker,1978,Northport,NY,Los Angeles,CA,,,,,,,,,
2006,,Carter,1970,norwich,connecticut,new york,new york,,,,,,,,,
2000,,Sharon Lockhart,1964,Norwood,Mass.,Los Angeles,california,,,,,,,,,
2000,,Sharon Lockhart,1964,Norwood,Mass.,Los Angeles,california,,,,,,,,,
1991,,kiki smith,1954,nuremberg,germany,new york,new york,,,,,,,,,
1993,,kiki smith,1954,nuremberg,germany,new york,new york,,,,,,,,,
2008,,Leslie Thornton,1951,oak ridge,tennessee,new york,new york,,,,,,,,,
1983,,robert colescott,1925,oakland,california,oakland,california,,,,,,,,,
2000,,Craig Baldwin,1952,Oakland,Calif.,San Francisco,california,,,,,,,,,
2008,,Jedidiah Caesar,1973,oakland,california,Los Angeles,california,,,,,,,,,
2008,,Ruben Ochoa,1974,oceanside,california,los angeles,california,,,,,,,,,
1993,,james hatch,1928,Oelwein,iowa,new york,new york,,,,,,,,,
1979,,kim macConnel,1946,oklahoma city,oklahoma,escondido,california,,,,,,,,,
1981,,kim macConnel,1946,oklahoma city,oklahoma,encinitas,california,,,,,,,,,
2000,,Petah Coyne,1953,Oklahoma City,oklahoma,New York,New York,,,,,,,,,
2000,,Trenton Doyle Hancock,1974,Oklahoma City,oklahoma,Paris,Tex.,,,,,,,,,
2008,,Joe Bradley,1975,old orchard beach,maine,new York,new York,,,,,,,,,
2000,,Darcey Steinke,1963,Oneida,N.Y.,Brooklyn,New York,,,,,,,,,
2010,,Storm Tharp,1970,Ontario,Oregon;,Portland,Oregon,,,,,,,,,
1981,,robert adams,1937,orange,new jersey,longmont,colorado,,,,,,,,,
1993,,Peter Cain,1959,orange,new jersey,bridgehampton,new york,,,,,,,,,
2008,,Gardar Eide Einarsson,1976,oslo,norway,new york,new york,,,,,,,,,
1977,,ree morton,1936,ossining,new york,new york,new york,,,,,,,,,
2006,,Nicholas Currie,1967,paisley,scotland,berlin,germany,,,,"I’ll Speak, You Sing, 2005. Performance with Mai Ueda. Courtesy Zach Feuer Gallery, New York",,,,,
2006,,Lisa Lapinski,1967,palo alto,california,los angeles,california,,,,"Sketch model for Nightstand, 2005. Mixed media, dimensions variable. Collection of the artist; courtesy Richard Telles Fine Art, Los Angeles",,,,,
1981,,louisa chase,1951,panama city, panama,new york,new york,,,,,,,,,
2006,,Matthew Day Jackson,1974,panorama city,california,brooklyn,new york,,,,"Eleanor, from American Martyr series, 2005. Spiked leather, yarn, scorched wood, stained wood, wood-burned drawing, polymer clay, abalone, mother-of-pearl, and panther taxidermy eyes, 120 x 96 in. (304.8 x 243.8 cm). Collection of Astrup Fearnley; courtesy Perry Rubenstein Gallery, New York",,,,,
1973,,Louise Bourgeois,1911,paris,france,New York,New York,,,,,,,,,
1983,,louise bourgeois,1911,paris,france,new york,new york,,,,,,,,,
1993,,jean-pierre forin,1943,paris,france,la jolla,california,,,,,,,,,
1993,,sophie calle,1953,paris,france,paris,france,,,,,,,,,
2006,,Pierre Huyghe,1962,paris,france,new york,new york,,,,"Still from A Journey That Wasn’t, 2005. Super 16mm film and high-definition video transferred to high-definition video, color, sound. Filming in Central Park, New York, a project of the Public Art Fund. Collection of the artist; courtesy Marian Goodman Gallery, New York and Paris",,,,,
1981,,robert kushner,1949,pasadena,california,new york,new york,,,,,,,,,
1991,,dawn fryling,1960,pasadena,california,san francisco,california,,,,,,,,,
1993,,christopher munch,1962,pasadena,california,los angeles,california,,,,,,,,,
2006,,Mark Grotjahn,1968,pasadena,california,los angeles,california,,,,"Untitled (White Butterfly), 2005. Oil on linen. 75 x 49 in. (190.5 x 124.5 cm). Walker Art Center, Minneapolis",,,,,
2008,,Michael Queenland,1970,pasadena,california,new york,new york,,,,,,,,,
2010,,Pae White,1963,Pasadena,California;,Los Angeles,California,,,,,,,,,
2012,,   Dennis Cooper,1953,pasadena,ca,los angeles,ca,paris,france,,,,,,,
1993,,timothy martin,1956,patuxant river,maryland,los angeles,california,,,,,,,,,
1991,,joseph glasco,1925,pauls valley,california,galveston,texas,,,,,,,,,
1973,,Kenneth Snelson,1927,pendleton,oregon,New York,New York,,,,,,,,,
1973,,Louise Nevelson,1900,perislav poltava,russia,New York,New York,,,,,,,,,
1973,,Louise Fishman,1939,Philadelphia,PA,New York,New York,,,,,,,,,
1979,,barbara schwartz,1948,philadelphia,pennsylvania,new york,new york,,,,,,,,,
1979,,lois lane,1948,philadelphia,pennsylvania,new york,new york,,,,,,,,,
1981,,barry gerson,1939,philadelphia,pennsylvania,new york,new york,,,,,,,,,
1981,,bruce robbins,1948,philadelphia,pennsylvania,new york,new york,,,,,,,,,
1981,,judith shea,1948,philadelphia,pennsylvania,new york,new york,,,,,,,,,
1981,,william anastasi,1933,philadelphia,pennsylvania,new york,new york,,,,,,,,,
1983,,barry gerson,1939,philadelphia,pennsylvania,new york,new york,,,,,,,,,
1991,,joseph santore,1945,philadelphia,pennsylvania,new york,new york,,,,,,,,,
1993,,karen kilimnik,1962,philadelphia,pennsylvania,philadelphia,pennsylvania,,,,,,,,,
1993,,marco williams,1956,philadelphia,pennsylvania,los angeles,california,,,,,,,,,
1993,,pat ward williams,1948,philadelphia,pennsylvania,santa monica,california,,,,,,,,,
2000,,Jill Godmilow,1943,Philadelphia,pennsylvania,South Bend,Ind.,,,,,,,,,
2000,,Lisa Yuskavage,1962,Philadelphia,Pennsylvia,New York,New York,,,,,,,,,
2000,,Ruth Leitman,1961,Philadelphia,pennsylvania,Atlanta,georgia,,,,,,,,,
2006,,Jennifer Allora,1974,philadelphia,pennsylvania,san juan,puerto rico,,,,,,,,,
2006,,Spencer Sweeney,1973,philadelphia,pennsylvania,new york,new york,,,,"Fun, 2005. Oil on canvas, 48 x 48 in. (121.9 x 121.9 cm). Collection of Shane Akeroyd; courtesy Gavin Brown’s enterprise, New York",,,,,
2006,,Zoe Strauss,1970,philadelphia,pennsylvania,philadelphia,pennsylvania,,,,"Mom Were OK, detail from I-95 series, Gulfport, Mississippi, September 2005. Digital chromogenic print, dimensions variable. Collection of the artist",,,,,
2008,,Karen Kilimnik,1957,philadelphia,pennsylvania,philadelphia,pennsylvania,,,,,,,,,
2008,,Lisa Sigal,1962,philadelphia,pennsylvania,new york,new york,,,,,,,,,
2010,,Sarah Crowner,1974,Philadelphia,Pennsylvania;,Brooklyn,New York,,,,,,,,,
2014,,Dan Walsh,1960,Philadelphia,PA,New York,NY,,,,,,,,,
2014,,Louise Fishman,1939,Philadelphia,PA,New York,NY,,,,,,,,,
1973,,Philip Pearlstein,1924,pittsburgh,pennsylvania,New York,New York,,,,,,,,,
1977,,mel bochner,1940,pittsburgh,pennsylvania,new york,new york,,,,,,,,,
1979,,mel bochner,1940,pittsburgh,pennsylvania,new york,new york,,,,,,,,,
1979,,philip pearlstein,1924,pittsburgh,pennsylvania,new york,new york,,,,,,,,,
1983,,daniel walworth,1955,pittsburgh,pennsylvania,new york,new york,,,,,,,,,
1983,,ken feingold,1952,pittsburgh,pennsylvania,minneapolis,minnisota,,,,,,,,,
1991,,philip pearlstein,1924,pittsburgh,pennsylvania,New York,New York,,,,,,,,,
1993,,peter sellars,1957,pittsburgh,pennsylvania,los angeles,california,,,,,,,,,
2000,,Chris Sullivan,1960,Pittsburgh,pennsylvania,Chicago,ill,,,,,,,,,
1973,,Jim Nutt,1938,pittsfield,massachusetts,Sacramento,California,,,,,,,,,
1977,,jim nutt,1938,pittsfield,massachusetts,wilmette,illinois,,,,,,,,,
1983,,nancy graves,1940,pittsfield,massachusetts,new york,new york,,,,,,,,,
1991,,tim rollins,1955,pittsfield,maine,new york,new york,,,,,,,,,
1981,,jan groover,1943,Plainfield,new jersey,new york,new york,,,,,,,,,
2012,,Michael Robinson,1981,plattsburgh,new york,west danby,new york,,,,,,,,,
1993,,jack pierson,1960,plymouth,massachusetts,new york,new york,,,,,,,,,
2000,,Al Souza,1944,Plymouth,Mass.,Houston,texas,,,,,,,,,
2000,,Kim Dingle,1951,Pomona,Calif.,Los Angeles,Calif.,,,,,,,,,
2014,,Rhys Ernst,1982,Pomona,CA,Los Angeles,CA,,,,,,,,,
1991,,robert rauschenberg,1925,port arthur,texas,captiva,florida,new york,new york,,,,,,,
2008,,Adler Guerrier,1975,port-au-prince,haiti,miami,florida,,,,,,,,,
1981,,richard diebenkorn,1922,portland,oregon,santa monica,california,,,,,,,,,
1991,,carrie mae weems,1953,portland,oregon,northampton,massachusetts,,,,,,,,,
2014,,Alex Waterman,1975,Portsmouth,VA,New York,NY,,,,,,,,,
2008,,Phoebe Washburn,1973,poughkeepsie,new york,new york,new york,,,,,,,,,
2006,,Jay Heikes,1975,princeton,new jersey,brooklyn,new york,minneapolis,minnesota,,"So There’s This Pirate… (Still 1300), 2005. Tempera, marker, and graphite on photocopy, 30 x 40 in. (76.2 x 101.6 cm). Private collection",,,,,
1979,,anthony ramos,1944,providence,rhode island,new york,new york,,,,,,,,,
1979,,stuart sherman,1945,providence,rhode island,new york,new york,,,,,,,,,
1981,,stuart sherman,1945,providence,rhode island,new york,new york,,,,,,,,,
1983,,stuart sherman,1945,providence,rhode island,new york,new york,,,,,,,,,
2000,,Joe Gibbons,1953,Providence,R.I.,New York,new york,,,,,,,,,
2006,,Joe Gibbons,1953,providence,rhode island,malden ,ma,,,,"Still from Doppelganger Part 1, 2005. Video, color, sound; 10 min.",,,,,
2010,,Ellen Gallagher,1965,Providence,Rhode Isl,,,,,,,,,,,
2000,,Shirin Neshat,1957,Qazvin,Iran,New York,,,,,,,,,,
1991,,felix gonzalez-torres,1957,quaimaro,cuba,new york,new york,,,,,,,,,
1973,,Dorothea Rockburne ,,quebec,canada,New York,New York,,,,,,,,,
1977,,dorothea rockburne,,quebec,canada,new york,new york,,,,,,,,,
1979,,dorothea rockburne,,quebec,canada,new york,new york,,,,,,,,,
1979,,george trakas,1944,quebec,canada,new york,new york,,,,,,,,,
2014,,Dawoud Bey,1953,Queens,NY,Chicago,IL,,,,,,,,,
1977,,richard tuttle,1941,rahway,new  jersey,new york,new york,,,,,,,,,
2000,,Richard Tuttle,1941,Rahway,N.J.,New York,New York,Abiquiu,N.M.,,,,,,,
1991,,david wojnarowicz,1954,redbank,new jersey,new york,new york,,,,,,,,,
2000,,Doug Aitken,1968,Redondo Beach,Calif.,Los Angeles and,california,New York,New York,,,,,,,
2012,,Alicia Hall Moran,1973,redwood city,california,new york ,new york,,,,,,,,,
1973,,Louisa Matthiasdottir,1917,reykajavik,iceland,New York,New York,,,,,,,,,
1977,,vija celmins,1939,riga,latvia,venice,california,,,,,,,,,
1973,,Adja Yunkers,1900,riga livonia,russia,New York,New York,,,,,,,,,
1973,,John Chamberlain,1927,rochester,indiana,New York,New York,,,,,,,,,
1991,,wendy jacob,1958,rochester,new york,chicago,illinois,,,,,,,,,
2010,,David Adamo,1979,Rochester,New York;,Berlin,Germany,,,,,,,,,
1979,,gregory gillespie,1934,roselle park,new jersey,amherst,massachusetts,,,,,,,,,
1981,,willem de kooning,1904,rotterdam,netherlands,long island,new york,,,,,,,,,
2008,,Patrick Hill,1972,royal oak,michigan,los angeles,california,,,,,,,,,
2006,,Daniel Johnston,1961,sacramento,california,waller,texas,,,,"Goodnite, 2005. Color marker on card stock, 8½ x 11 in. (21.6 x 27.9 cm). Collection of the artist",,,,,
2006,,Liz Larner,1960,sacramento,california,los angeles,california,,,,"RWBs, 2005. Aluminum tubing, batting, fabric, ribbons, wire rope, padlocks, and keys, 82 x 117 x 117 in. (208.3 x 297.2 x 297.2 cm). Collection of the artist; courtesy Regen Projects, Los Angeles",,,,,
2000,,T. Kim-Trang Tran,1966,Saigon,vietnam,Los Angeles,california,,,,,,,,,
2006,,Nari Ward,1963,saint andrew,jamaica,new york,new york,,,,"Glory, 2004. Oil barrels, ultraviolet and fluorescent lights, computer parts, plexiglass, fan, camera casings, audio element, towels, and rubber roofing membrane, dimensions variable. Collection of the artist; courtesy Deitch Projects, New York",,,,,
2008,,Fritz Haeg,1969,saint cloud,minnesota,los angeles,california,,,,,,,,,
1993,,charles atlas,1949,saint louis,missouri,new york,new york,,,,,,,,,
2008,,Amy Granat,1976,Saint Louis,missouri,new york,new york,,,,,,,,,
2008,,Matthew Brannon,1971,saint maries,idaho,new York,new York,,,,,,,,,
1973,,Richard Pousette-Dart,1916,saint paul,minnesota,Suffern,New York,,,,,,,,,
1993,,donald moffett,1955,san antonio,texas,new york ,new york,,,,,,,,,
2000,,Franco Mondini-Ruiz,1961,San Antonio,texas,San Antonio,texas,New York,New York,,,,,,,
1979,,deborah butterfield,1949,san diego,california,belgrade,montana,,,,,,,,,
2014,,Yve Laris Cohen,1985,San Diego,CA,Brooklyn,NY,,,,,,,,,
1973,,Richard Serra,1939,san francisco,california,New York,New York,,,,,,,,,
1973,,Robert Bechtle,1932,San Francisco,ca,New York,New York,,,,,,,,,
1977,,joan brown,1938,san francisco,california,san francisco,california,,,,,,,,,
1977,,richard serra,1939,san francisco,california,new york,new york,,,,,,,,,
1977,,richard serra,1939,san francisco,california,new york,new york,,,,,,,,,
1979,,richard serra,1939,san francisco,california,new york,new york,,,,,,,,,
1979,,robert nelson,1930,san francisco,california,milwaukee,wisconsin,,,,,,,,,
1981,,chick strand,1931,san francisco,california,tujunga,california,,,,,,,,,
1981,,richard serra,1939,san francisco,california,new york,new york,,,,,,,,,
1981,,yvonne rainer,1934,san francisco,california,new york,new york,,,,,,,,,
1983,,doug hall,1944,san francisco,california,san francisco,california,,,,,,,,,
1991,,alex webb,1952,san francisco,california,new york,new york,,,,,,,,,
1993,,mathew barney,1967,San Francisco,california,new york,new york,,,,,,,,,
2000,,Roman de Salvo,1965,San Francisco,california,San Diego,california,,,,,,,,,
2006,,Aaron Young,1972,san francisco,california,new york,new york,,,,"“LOCALS ONLY!” (Bayonne, New Jersey), 2006. Bronze and acrylic paint, 42 x 30 in. (106.7 x 76.2 cm). Collection of the artist; courtesy Harris Lieberman, New York",,,,,
2006,,Jennie Smith,1981,san francisco,california,san francisco,california,,,,"Animal Slumbers, 2004 (detail). Graphite and watercolor on paper, 15 x 17 in. (38.1 x 43.2 cm). Collection of the artist",,,,,
2006,,Richard Serra,1939,san francisco,california,new york,new york,,,,"Stop Bush, 2004. Lithocrayon on mylar, 59¼ x 48 in. (150.5 x 121.9 cm). Collection of the artist",,,,,
2006,,Trisha Donnelly,1974,san francisco,california,san francisco,california,,,,"The Grounding, 2004. Gelatin silver print, 48 x 47½ in. (122 x 121 cm). Collection of the artist; courtesy Casey Kaplan, New York",,,,,
2008,,Harry Dodge,1966,San Francisco,ca,Los Angeles,california,,,,,,,,,
2008,,luke fischbeck,1978,san francisco,ca,los angeles,california,,,,,,,,,
2008,,Mary Heilmann,1940,san francisco,california,new york,new york,,,,,,,,,
2008,,Robert Bechtle,1932,San Francisco,ca,san francisco,California,,,,,,,,,
2008,,Stanya Kahn,1968,San Francisco,ca,Los Angeles,california,,,,,,,,,
2010,,Tauba Auerbach,1981,San Francisco,California;,New York,New York,,,,,,,,,
2014,,Tony Greene,1955,San Francisco,CA,Los Angeles,CA,,,1990,,,,,,
,,Diana Thater,1962,san francisco,california,los angeles,california,,,,"Production still from JUMP, 2004. 16mm film, color, sound; 16 min.",,,,,
1983,,mark tansey,1949,san jose,california,new york,new york,,,,,,,,,
1991,,mark tansey,1949,san jose,california,new york,new york,,,,,,,,,
1993,,bruce yonemoto,1949,san jose,california,los angeles,california,,,,,,,,,
1973,,Rafael Ferrer,1933,san juan,puerto rico,Philadelphia,Pennsylvania,,,,,,,,,
1981,,rafael ferrer,1933,san juan,puerto rico,philadelphia,pennsylvania,,,,,,,,,
1991,,christian marclay,1955,san rafael,california,new york,new york,,,,,,,,,
2014,,Ricky Swallow,1974,San Remo,Australia,Los Angeles,CA,,,,,,,,,
1981,,andrew noren,1943,santa fe,new mexico,new york,new york,,,,,,,,,
1981,,john divola,1949,santa monica,california,venice,california,,,,,,,,,
1983,,gary hill,1951,santa monica,california,new york,new york,barrytown,new york,,,,,,,
1991,,gary hill,1951,santa monica,california,new york,new york,barrytown,new york,,,,,,,
1993,,gary hill,1951,santa monica,california,seattle,washington,,,,,,,,,
2006,,Kenneth Anger,1927,santa monica,california,hollywood,california,,,,,,,,,
2008,,Matt Mullican,1951,santa monica,california,new york,new york,,,,,,,,,
2014,,Victoria Fu,1978,Santa Monica,CA,San Diego,CA,and Los Angeles,CA,,,,,,,
1983,,juan downey,1940,santiago,chile,new york,new york,,,,,,,,,
1993,,pepon osorio,1955,santurce,puerto rico,new york,new york,,,,,,,,,
2000,,Vik Muniz,1961,São Paulo,Brazil,New York,,,,,,,,,,
2008,,Olaf Breuning,1970,schaffhausen,switzerland,new York,new York,,,,,,,,,
2014,,Gretchen Bender,1951,Seaford,DE,New York,NY,,,2004,,,,,,
1973,,Jo Baer,1929,seattle,washington,New York,New York,,,,,,,,,
1977,,terry fox,1943,seattle,washington,san francisco,california,,,,,,,,,
1991,,jessica stockholder,1959,seattle,washington,new york,new york,,,,,,,,,
2012,,Oscar Tuazon,1975,seattle,wa,paris,france,,,,,,,,,
2014,,Jennifer stein,1970,Seattle,WA,New York,NY,and Berlin,Germany,,,,,,,
