year of exhibition,age at the time,name,birthyear,birthplace city,birthplace state or country,work place city,work place state or country,work place 2,work place 2 state or country,death date,work title,work year,work media,work size,frequency,work source
2006,,Kori Newkirk,1970,bronx,new york,los angeles,california,,,,"Glint, 2005. Artificial hair, pony beads, aluminum, and dye, 92 x 84 x 48 in. (233.7 x 213.4 x 121.9 cm). Museum of Contemporary Art, San Diego",,,,,
1973,,Brice Marden,1938,bronxville,new york,New York,New York,,,,,,,,,
1977,,brice marden,1938,bronxville,new york,new york,new york,,,,,,,,,
1979,,brice marden,1938,bronxville,new york,new york,new york,,,,,,,,,
1991,,louise lawler,1947,Bronxville,N.Y.,New York,New York,,,,,,,,,
2000,,Louise Lawler,1947,Bronxville,N.Y.,New York,New York,,,,,,,,,
2008,,Louise Lawler,1947,bronxville,new york,new york,new york,,,,,,,,,
1973,,Alex Katz,1927,brooklyn,new york,New York,New York,,,,,,,,,
1973,,Lee Krasner,1908,brooklyn,new york,New York,New York,,,,,,,,,
1979,,alex katz,1927,brooklyn,new york,new york,new york,,,,,,,,,
1979,,martha rosler,1943,brooklyn,new york,san francisco,california,,,,,,,,,
1979,,michael singer,1945,brooklyn,new york,wilmington,vermont,,,,,,,,,
1979,,rodney ripps,1950,brooklyn,new york,new york,new york,,,,,,,,,
1983,,jean michel basquiat,1960,brooklyn, new york,new york,new york,,,,,,,,,
1983,,martha rosler,1943,brooklyn,new york,brooklyn,new york,,,,,,,,,
1983,,robert longo,1953,brooklyn,new york,new york,new york,,,,,,,,,
1991,,alex katz,1927,brooklyn,new york,New York,New York,,,,,,,,,
1993,,lucy sexton,1960,brooklyn,new york,new york,new york,,,,,,,,,
1993,,mark rappaport,1942,brooklyn,new york,new york,new york,,,,,,,,,
2000,,Annette Weintraub,1946,Brooklyn,New York,New York,New York,,,,,,,,,
2014,,Charlemagne Palestine,1947,Brooklyn,NY,Brussels,Belgium,,,,,,,,,
1983,,mary lucier,1944,bucyrus,ohio,new york,new york,,,,,,,,,
2008,,Rita Ackermann,1968,budapest,hungary,new York,new York,,,,,,,,,
2000,,Silvia Kolbowski,1953,Bueno Aires,argentina,New York,New York,,,,,,,,,
2000,,Leandro Erlich,1973,Buenos Aires,argentina,Houston,texas,,,,,,,,,
2008,,Mika Rottenberg,1976,buenos aires,argentina,new york,new york,,,,,,,,,
1979,,susan rothenberg,1945,buffalo,new york,new york,new york,,,,,,,,,
1983,,susan rothenberg,1945,buffalo,new york,new york,new york,,,,,,,,,
1993,,kevin wolff,1955,buffalo,new york,chicago,illinois,,,,,,,,,
2012,,Vincent Gallo,1961,buffalo,new york,,,,,,,,,,,
2014,,Ben Kinmont,1963,Burlington,VT,Sebastopol,CA,,,,,,,,,
2000,,Ghada Amer,1963,Cairo,egypt,New York,New York,,,,,,,,,
2000,,Rina Banerjee,1963,Calcutta,india,Brooklyn,new york,State College,Pa.,,,,,,,
2008,,Bozidar Brazda,1972,cambridge,canada,new York,new York,,,,,,,,,
1973,,Ronald Bladen,1918,canada,canada,New York,New York,,,,,,,,,
1993,,william jones,1962,canton,ohio,los angeles,california,,,,,,,,,
2008,,William E. Jones,1962,canton,ohio,los angeles,california,,,,,,,,,
1973,,Katherine Porter,1941,cedar rapids,iowa,Santa Fe,New Mexico,,,,,,,,,
1981,,katherine porter,1941,cedar rapids,iowa,lincolnville,maine,,,,,,,,,
2008,,David Reinfurt,1971,chapel hill,north carolina,new york,new york,,,,,,,,,
2008,,Drew Heitzler,1972,charleston,south carolina,los angeles,ca,,,,,,,,,
2012,,Gisèle Vienne,1976,charleville-mezieres,france,grenoble,france,,,,,,,,,
2000,,Walid Ra'ad,1967,Chbanieh,Lebanon,Brooklyn,new York,,,,,,,,,
1973,,David Diao,1943,Chengdu Sichuan,China,New York,New York,,,,,,,,,
2014,,David Diao,1943,Chengdu Sichuan,China,New York,NY,,,,,,,,,
2006,,George Butler,1943,chester,england,holderness,new hampshire,,,,,,,,,
1973,,Ed Paschke,1939,chicago,illinois,Chicago,Illinoise,,,,,,,,,
1973,,Elizabeth Murray,1940,chicago,illinois,New York,New York,,,,,,,,,
1977,,elizabeth murray,1940,chicago,illinois,new york,new york,,,,,,,,,
1977,,joe zucker,1941,chicago,illinois,new york,new york,,,,,,,,,
1977,,ron gorchov,1930,chicago,illinois,new york,new york,,,,,,,,,
1979,,barbara buckner,1950,chicago,illinois,new york,new york,,,,,,,,,
1979,,elizabeth murray,1940,chicago,illinois,new york,new york,,,,,,,,,
1979,,joe zucker,1941,chicago,illinois,new york,new york,,,,,,,,,
1979,,walter gutman,1903,chicago,illinois,new york,new york,,,,,,,,,
1981,,barbara buckner,1950,chicago,illinois,new york,new york,,,,,,,,,
1981,,ed paschke,1939,chicago,illinois,chicago,illinois,,,,,,,,,
1981,,elizabeth murray,1940,chicago,illinois,new york,new york,,,,,,,,,
1983,,barbara buckner,1950,chicago,illinois,new york,new york,,,,,,,,,
1983,,joan mitchell,1926,chicago,illinois,vetheuil,france,,,,,,,,,
1983,,joe zucker,1941,chicago,illinois,east hampton,new york,,,,,,,,,
1983,,leon golub,1922,chicago,illinois,new york,new york,,,,,,,,,
1991,,donald lipski,1947,chicago,illinois,new york,new york,,,,,,,,,
1991,,elizabeth murray,1940,chicago,illinois,New York,New York,,,,,,,,,
1991,,joan mitchell,1926,chicago,illinois,Vetheuil,France,,,,,,,,,
1993,,charles ray,1953,chicago,illinois,los angeles,california,,,,,,,,,
1993,,norman yonemoto,1946,chicago,illinois,venice,california,,,,,,,,,
1993,,sue williams,1954,chicago,illinois,brooklyn,new york,,,,,,,,,
2000,,Yvonne Welbon,1962,Chicago,Ill.,Chicago,Ill.,,,,,,,,,
2006,,Ed Paschke,1939,chicago,illinois,chicago,illinois,,,,"Non, 2003. Oil on linen, 36 x 50 in. (91.4 x 127 cm). Estate of the artist",,,,,
2006,,Jim O'Rourke,1969,chicago,illinois,new york,new york,,,,"Still from Door, 2005. Three-screen video installation, color, sound; 20-min. continuous loop. Collection of the artist",,,,,
2008,,Amanda Ross-Ho,1975,chicago,illinois,los angeles,california,,,,,,,,,
2008,,Amie Siegel,1974,chicago,illinois,new york,new york,berlin,germany,,,,,,,
2008,,Melanie Schiff,1977,chicago,illinois,chicago,illinois,,,,,,,,,
2008,,Michael Smith,1951,chicago,illinois,austin,texas,new york,new york,,,,,,,
2010,,Charles Ray,1953,Chicago,Illinois;,Los Angeles,California,,,,,,,,,
2010,,Jessica Jackson Hutchins,1971,Chicago,Illinois;,Portland,Oregon,,,,,,,,,
2010,,Theaster Gates,1973,Chicago,Illinois;,Chicago,Illinois,,,,,,,,,
2012,,Kate Levant,1983,chicago,il,detroit,michigan,,,,,,,,,
2012,,Thom Andersen,1943,chicago,il,Los Angeles,ca,,,,,,,,,
2012,,Tom Thayer,1970,chicago,il,new york,new york,,,,,,,,,
2014,,Philip Hanson,1943,Chicago,IL,Chicago,IL,,,,,,,,,
1993,,lourdes portillo,1944,chihuahua,mexico,san francisco,california,,,,,,,,,
1981,,jo ann callis,1940,cincinnati,ohio,culver city,california,,,,,,,,,
1991,,alan rath,1959,cincinnati,ohio,oakland,california,,,,,,,,,
2000,,Joseph Marioni,1943,Cincinnati,ohio,New York,new york,,,,,,,,,
2008,,howie chen,1976,cincinnati,ohio,new york,new york,,,,,,,,,
